Kanalnummer	Impulse	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#

1491	25	5
1492	20	5
1493	12	5
1494	23	5
1495	25	5
1496	19	5
1497	20	5
1498	15	5
1499	20	5
1500	16	5
1501	22	5
1502	14	5
1503	29	5
1504	12	5
1505	13	5
1506	21	5
1507	13	5
1508	23	5
1509	20	5
1510	22	5
1511	14	5
1512	17	5
1513	17	5
1514	6	5
1515	19	5
1516	19	5
1517	8	5
1518	13	5
1519	14	5
1520	20	5
1521	22	5
1522	19	5
1523	16	5
1524	17	5
1525	15	5
1526	14	5
1527	12	5
1528	24	5
1529	14	5
1530	21	5
1531	17	5
1532	9	5
1533	9	5
1534	11	5
1535	20	5
1536	14	5
1537	9	5
1538	15	5
1539	11	5
1540	27	5
1541	13	5
1542	18	5
1543	12	5
1544	8	5
1545	24	5
1546	10	5
1547	16	5
1548	16	5
1549	18	5
1550	17	5
1551	13	5
1552	25	5
1553	19	5
1554	12	5
1555	21	5
1556	18	5
1557	12	5
1558	20	5
1559	11	5
1560	11	5
1561	14	5
1562	7	5
1563	11	5
1564	12	5
1565	16	5
1566	20	5
1567	13	5
1568	13	5
1569	13	5
1570	19	5
1571	12	5
1572	16	5
1573	13	5
1574	15	5
1575	12	5
1576	10	5
1577	14	5
1578	12	5
1579	8	5
1580	17	5
1581	11	5
1582	12	5
1583	13	5
1584	13	5
1585	11	5
1586	12	5
1587	18	5
1588	18	5
1589	10	5
1590	14	5
1591	13	5
1592	13	5
1593	8	5
1594	11	5
1595	15	5
1596	14	5
1597	15	5
1598	10	5
1599	11	5
1600	15	5
1601	6	5
1602	10	5
1603	7	5
1604	18	5
1605	5	5
1606	13	5
1607	5	5
1608	9	5
1609	10	5
1610	11	5
1611	6	5
1612	17	5
1613	8	5
1614	13	5
1615	11	5
1616	8	5
1617	11	5
1618	11	5
1619	12	5
1620	11	5
1621	7	5
1622	16	5
1623	10	5
1624	10	5
1625	11	5
1626	10	5
1627	9	5
1628	9	5
1629	7	5
1630	12	5
1631	10	5
1632	8	5
1633	12	5
1634	9	5
1635	12	5
1636	15	5
1637	10	5
1638	15	5
1639	6	5
1640	8	5
1641	10	5
1642	6	5
1643	12	5
1644	13	5
1645	12	5
1646	12	5
1647	9	5
1648	5	5
1649	9	5
1650	11	5
1651	12	5
1652	8	5
1653	8	5
1654	11	5
1655	11	5
1656	12	5
1657	5	5
1658	7	5
1659	7	5
1660	11	5
1661	11	5
1662	5	5
1663	10	5
1664	7	5
1665	7	5
1666	12	5
1667	12	5
1668	7	5
1669	9	5
1670	11	5
1671	6	5
1672	10	5
1673	11	5
1674	12	5
1675	5	5
1676	7	5
1677	9	5
1678	10	5
1679	5	5
1680	13	5
1681	5	5
1682	9	5
1683	10	5
1684	7	5
1685	7	5
1686	10	5
1687	9	5
1688	10	5
1689	10	5
1690	9	5
1691	6	5
1692	9	5
1693	11	5
1694	9	5
1695	9	5
1696	5	5
1697	9	5
1698	7	5
1699	5	5
1700	12	5
1701	9	5
1702	13	5
1703	7	5
1704	6	5
1705	7	5
1706	5	5
1707	11	5
1708	14	5
1709	10	5
1710	4	5
1711	8	5
1712	13	5
1713	11	5
1714	3	5
1715	13	5
1716	16	5
1717	7	5
1718	10	5
1719	8	5
1720	6	5
1721	6	5
1722	9	5
1723	10	5
1724	7	5
1725	8	5
1726	7	5
1727	4	5
1728	11	5
1729	12	5
1730	13	5
1731	8	5
1732	7	5
1733	7	5
1734	14	5
1735	7	5
1736	10	5
1737	10	5
1738	7	6
1739	8	6
1740	12	6
1741	11	6
1742	14	6
1743	18	6
1744	3	6
1745	12	6
1746	8	6
1747	8	6
1748	3	6
1749	10	6
1750	11	6
1751	7	6
1752	13	6
1753	12	6
1754	3	6
1755	12	6
1756	14	6
1757	10	6
1758	3	7
1759	17	7
1760	5	7
1761	15	7
1762	10	7
1763	13	7
1764	14	7
1765	6	7
1766	22	7
1767	7	7
1768	10	7
1769	15	8
1770	13	8
1771	13	8
1772	12	8
1773	11	8
1774	15	8
1775	10	8
1776	11	8
1777	11	9
1778	14	9
1779	15	9
1780	13	9
1781	10	9
1782	18	9
1783	22	9
1784	15	10
1785	14	10
1786	6	10
1787	15	10
1788	14	10
1789	11	11
1790	16	11
1791	12	11
1792	9	11
1793	19	12
1794	8	12
1795	20	12
1796	19	12
1797	13	13
1798	16	13
1799	11	13
1800	25	13
1801	22	14
1802	22	14
1803	15	14
1804	25	15
1805	16	15
1806	14	15
1807	13	16
1808	23	16
1809	20	17
1810	30	17
1811	29	17
1812	29	18
1813	17	18
1814	17	19
1815	19	19
1816	22	20
1817	28	20
1818	14	21
1819	26	21
1820	22	22
1821	35	22
1822	26	23
1823	21	23
1824	28	24
1825	20	24
1826	48	25
1827	35	25
1828	25	26
1829	21	27
1830	51	27
1831	32	28
1832	38	29
1833	46	29
1834	26	30
1835	31	31
1836	44	31
1837	33	32
1838	30	33
1839	29	34
1840	30	35
1841	48	35
1842	43	36
1843	55	37
1844	31	38
1845	39	39
1846	54	40
1847	36	41
1848	40	41
1849	59	42
1850	33	43
1851	51	44
1852	49	45
1853	55	46
1854	33	47
1855	38	48
1856	34	49
1857	58	50
1858	55	51
1859	54	53
1860	74	54
1861	48	55
1862	70	56
1863	44	57
1864	64	58
1865	70	59
1866	45	61
1867	80	62
1868	66	63
1869	59	64
1870	70	66
1871	68	67
1872	68	68
1873	61	69
1874	72	71
1875	91	72
1876	75	73
1877	61	75
1878	83	76
1879	48	78
1880	75	79
1881	96	80
1882	63	82
1883	116	83
1884	85	85
1885	68	86
1886	74	87
1887	90	89
1888	92	90
1889	103	92
1890	109	93
1891	111	95
1892	95	96
1893	84	98
1894	125	99
1895	84	101
1896	98	102
1897	122	104
1898	69	105
1899	98	107
1900	140	109
1901	131	110
1902	97	112
1903	109	113
1904	94	115
1905	122	116
1906	136	118
1907	133	119
1908	141	121
1909	93	122
1910	139	124
1911	104	125
1912	99	127
1913	138	128
1914	85	130
1915	141	131
1916	158	133
1917	121	134
1918	128	136
1919	151	137
1920	120	139
1921	129	140
1922	144	142
1923	143	143
1924	142	144
1925	116	146
1926	170	147
1927	111	148
1928	152	150
1929	170	151
1930	123	152
1931	154	154
1932	212	155
1933	167	156
1934	175	157
1935	116	159
1936	140	160
1937	162	161
1938	182	162
1939	186	163
1940	182	164
1941	129	165
1942	178	166
1943	115	167
1944	174	168
1945	208	169
1946	128	170
1947	196	171
1948	161	172
1949	159	173
1950	180	174
1951	200	175
1952	154	175
1953	165	176
1954	172	177
1955	157	177
1956	203	178
1957	140	179
1958	194	179
1959	158	180
1960	151	180
1961	198	181
1962	138	181
1963	187	181
1964	193	182
1965	192	182
1966	197	182
1967	143	183
1968	211	183
1969	174	183
1970	197	183
1971	180	183
1972	212	183
1973	152	183
1974	228	183
1975	154	183
1976	142	183
1977	205	183
1978	145	183
1979	193	183
1980	194	183
1981	190	182
1982	186	182
1983	161	182
1984	169	181
1985	193	181
1986	195	181
1987	174	180
1988	198	180
1989	159	179
1990	216	179
1991	152	178
1992	187	177
1993	183	177
1994	163	176
1995	166	175
1996	193	175
1997	186	174
1998	159	173
1999	149	172
2000	161	171
2001	169	170
2002	182	169
2003	181	168
2004	179	167
2005	170	166
2006	227	165
2007	115	164
2008	192	163
2009	183	162
2010	135	161
2011	163	160
2012	197	159
2013	175	157
2014	160	156
2015	172	155
2016	142	154
2017	163	152
2018	162	151
2019	131	150
2020	202	148
2021	107	147
2022	189	146
2023	126	144
2024	145	143
2025	172	142
2026	118	140
2027	122	139
2028	195	137
2029	138	136
2030	130	134
2031	126	133
2032	106	131
2033	133	130
2034	143	128
2035	123	127
2036	168	125
2037	103	124
2038	161	122
2039	106	121
2040	110	119
2041	126	118
2042	99	116
2043	127	115
2044	112	113
2045	122	112
2046	117	110
2047	135	109
2048	97	107
2049	90	105
2050	108	104
2051	107	102
2052	104	101
2053	70	99
2054	106	98
2055	87	96
2056	99	95
2057	103	93
