Kanalnummer	Impulse	Fit(Impulse)	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#	Impulse/#

698	124	18	4
699	166	18	4
700	137	18	4
701	138	18	4
702	115	18	4
703	146	18	4
704	106	18	4
705	118	18	4
706	133	18	4
707	120	18	4
708	161	18	4
709	118	18	4
710	123	18	4
711	100	18	4
712	140	18	4
713	132	18	4
714	116	18	4
715	103	18	4
716	132	18	4
717	115	18	4
718	115	18	4
719	109	18	4
720	98	18	4
721	127	18	4
722	117	18	4
723	136	18	4
724	117	18	4
725	99	18	4
726	135	18	4
727	96	18	4
728	98	18	4
729	129	18	4
730	95	18	4
731	114	18	4
732	123	18	4
733	101	18	4
734	126	18	4
735	126	18	4
736	104	18	4
737	125	18	4
738	107	18	4
739	125	18	4
740	140	18	4
741	80	18	4
742	147	18	4
743	113	18	4
744	97	18	4
745	131	18	4
746	96	18	4
747	121	18	4
748	124	18	4
749	101	18	4
750	111	18	4
751	129	18	4
752	99	18	4
753	116	18	4
754	123	18	4
755	112	18	4
756	128	18	4
757	113	18	4
758	122	18	4
759	95	18	4
760	98	18	4
761	103	18	4
762	107	18	4
763	132	18	4
764	102	18	4
765	108	18	4
766	123	18	4
767	105	18	4
768	80	18	4
769	119	18	4
770	109	18	4
771	128	18	4
772	113	18	4
773	96	18	4
774	110	18	4
775	95	18	4
776	110	18	4
777	114	18	4
778	95	18	4
779	110	18	4
780	131	18	4
781	105	18	4
782	107	18	4
783	103	18	4
784	124	18	4
785	88	18	4
786	108	18	4
787	112	18	4
788	109	18	4
789	87	18	4
790	120	18	4
791	83	18	4
792	119	18	4
793	103	18	4
794	102	18	4
795	140	18	4
796	107	18	4
797	108	18	4
798	110	18	4
799	121	18	4
800	100	18	4
801	126	18	4
802	129	18	4
803	104	18	4
804	125	18	4
805	113	18	4
806	119	18	4
807	125	18	4
808	92	18	4
809	114	18	4
810	99	18	4
811	99	18	4
812	113	18	4
813	95	18	4
814	91	18	4
815	110	18	4
816	99	18	4
817	120	18	4
818	92	18	4
819	124	18	4
820	100	18	4
821	87	18	4
822	116	18	4
823	126	18	4
824	91	18	4
825	125	18	4
826	97	18	4
827	114	18	4
828	94	18	4
829	101	18	4
830	102	18	4
831	117	18	4
832	84	18	4
833	104	18	4
834	104	18	4
835	102	18	4
836	108	18	4
837	91	18	4
838	122	18	4
839	87	18	4
840	101	18	4
841	124	18	4
842	79	18	4
843	91	18	4
844	109	18	4
845	98	18	4
846	114	18	4
847	103	18	4
848	81	18	4
849	116	18	4
850	106	18	4
851	133	18	4
852	105	18	4
853	79	18	4
854	105	18	4
855	81	18	4
856	106	18	4
857	111	18	4
858	93	18	4
859	111	18	4
860	104	18	4
861	113	18	4
862	108	18	4
863	121	18	4
864	83	18	4
865	92	18	4
866	91	18	4
867	88	18	4
868	128	18	4
869	97	18	4
870	126	18	4
871	91	18	4
872	76	18	4
873	104	18	4
874	82	18	4
875	111	18	4
876	115	18	4
877	101	18	4
878	103	18	4
879	109	18	4
880	97	18	4
881	97	18	4
882	107	18	4
883	116	18	4
884	106	18	4
885	82	18	4
886	124	18	4
887	101	18	4
888	94	18	4
889	113	18	4
890	82	18	4
891	129	18	4
892	90	18	4
